ID,Area,Priority,Title,Description,Recommendation,Files Affected,Completed
Q1,Code Quality,High,Zero automated tests,No test suite exists for server.js (env parsing cache logic HTTP endpoints) or dashboard filter/sort/render logic. Any regression requires full manual verification.,Add unit tests using Node's built-in node:test runner (no npm needed) for server.js. Add Playwright smoke tests for the dashboard.,violation-cache/server.js / dashboard/index.html,FALSE
Q2,Code Quality,Medium,Dashboard IIFE provides no real scope isolation,~15 state variables are declared inside an IIFE but ~30 functions are then explicitly re-exported to window. The IIFE scope provides no meaningful isolation — all state is accessible from the browser console.,Either remove the IIFE and use explicit globals or convert to <script type=module> and export only what inline event handlers need.,dashboard/index.html,FALSE
Q3,Code Quality,Medium,No 'use strict' in dashboard JavaScript,server.js has 'use strict' on line 1 but the dashboard IIFE does not. Sloppy mode allows accidental globals and silently ignores some class of errors.,Add 'use strict'; as the first statement inside the dashboard IIFE.,dashboard/index.html,FALSE
Q4,Code Quality,Medium,Magic numbers not named throughout dashboard,200 (debounce ms) 500 (project page size) 5000 (poll interval ms) 3000 (probe retry ms) are scattered inline with no explanation.,Collect all tunable constants in a single CONFIG = { DEBOUNCE_MS: 200 PAGE_SIZE: 500 POLL_INTERVAL_MS: 5000 ... } block at the top of the script.,dashboard/index.html,FALSE
Q5,Code Quality,Low,Pill renderer coupled to literal level name strings,pillFor() / pillClass() branch on literal strings ('critical' 'fail' etc.). Adding a new risk level or renaming one requires changes in multiple places.,Declare a LEVEL_STYLE map object; make pillFor a pure lookup into that map.,dashboard/index.html,FALSE
Q6,Code Quality,Low,Mock data is non-deterministic,generateMockProjects() uses Math.random() seeded fresh on every page load. Mock data changes on every reload making visual regression testing impossible.,Add a simple seeded pseudo-random number generator (LCG — no dependencies) so mock data is deterministic and reproducible.,dashboard/index.html,FALSE
Q7,Code Quality,Medium,patchEnvFile() breaks on Windows line endings,patchEnvFile uses split('\n') to parse the .env file. If the file was created on Windows (CRLF line endings) trailing \r characters corrupt keys and values on write.,Normalise line endings before splitting: content.replace(/\r\n/g '\n').split('\n').,violation-cache/server.js,FALSE
Q8,Code Quality,Medium,patchEnvFile() write errors are unhandled,patchEnvFile uses synchronous fs.writeFileSync with no try-catch. An EACCES or ENOSPC error propagates up and crashes the process via the unhandled-rejection handler.,Wrap fs.writeFileSync in patchEnvFile inside a try-catch; log the error and let the caller return HTTP 500.,violation-cache/server.js,FALSE
Q9,Code Quality,Medium,getStatus() reads and parses the full cache file on every status poll,The browser polls /violation-cache/status every 5 s. Each poll calls readCacheFile() which does fs.readFileSync + JSON.parse on the full cache file (potentially megabytes).,Cache the metadata fields (generatedAt expiresAt projectCount failedPipelines) in an in-memory object after each job completes. Only update after a job finishes.,violation-cache/server.js,FALSE
Q10,Code Quality,Low,Cache file is parsed twice on a single page load,readCacheFile() is called in getStatus() and again when GET /violation-cache/data is requested moments later during the same page load.,Use in-memory metadata from Q9 for status; GET /violation-cache/data reads the raw file buffer directly (no JSON.parse) and pipes it to the response.,violation-cache/server.js,FALSE
L1,License,Medium,No SPDX license identifier in source files,server.js index.html install.sh and nginx.conf.template have no machine-readable SPDX header. OSS scanners (FOSSA REUSE scancode) flag these files as unlicensed.,Add // SPDX-License-Identifier: MIT (and Copyright line) to the top of each source file.,All source files,FALSE
L2,License,Low,No NOTICE or ATTRIBUTION file,No attribution file exists for third-party components. Best practice for MIT/Apache projects.,Create a NOTICE file listing any third-party assets or inspirations.,Repository root,FALSE
L3,License,Medium,No SECURITY.md vulnerability disclosure policy,GitHub displays a Security policy tab when SECURITY.md exists. Without it the repo shows No security policy — a reputational concern for a security-adjacent tool.,Add a minimal SECURITY.md with supported versions and a responsible disclosure process.,Repository root,FALSE
L4,License,Medium,Docker base image not pinned to a digest,FROM node:18-alpine resolves to whatever the latest patch is at build time. This allows silent supply-chain changes and breaks reproducible builds.,Pin to a digest: FROM node:18-alpine@sha256:<digest> and document how to update it.,violation-cache/Dockerfile,FALSE
L5,License,High,Node.js 18 is end-of-life (April 2025),Node 18 LTS reached EOL in April 2025 and no longer receives security patches. Docker images built from node:18-alpine are unpatched.,Upgrade Dockerfile base image to node:22-alpine (current LTS).,violation-cache/Dockerfile,FALSE
L6,License,Low,install.sh missing copyright and license header,The script is a substantial standalone work. Without a header its license status is ambiguous to adopters and OSS scanners.,Add SPDX-License-Identifier: MIT and a copyright notice as a comment at the top of install.sh.,install.sh,FALSE
O1,Operational,High,No Docker health checks defined,Docker cannot determine if either service is alive or stuck. docker-compose depends_on has no condition: service_healthy check so the dashboard may start before the cache service is ready.,Add healthcheck entries to both services in docker-compose.yml. Cache service: GET /violation-cache/status. Dashboard: GET /.,docker-compose.yml,FALSE
O2,Operational,High,No Docker log rotation configured,Docker json-file log driver grows without bound. On a long-running server this will eventually fill the disk.,Add logging.driver: json-file with max-size: 100m and max-file: 5 options to both service definitions in docker-compose.yml.,docker-compose.yml,FALSE
O3,Operational,Medium,Plain-text logs not structured JSON,All logs in server.js are console.log plain strings. Aggregating into Datadog Loki Grafana or similar requires fragile regex parsing.,Add a simple log(level message fields) helper that emits JSON ({ level info msg ... ts ... }) toggled by a LOG_FORMAT=json env var.,violation-cache/server.js,FALSE
O4,Operational,Medium,Installer does not validate API key against DT,install.sh prompts for the API key and writes it to .env without testing it. The user discovers a bad key only after containers start and the first cache build fails.,Add a curl test after key entry: GET /api/v1/project?pageSize=1 with the key and verify HTTP 200. Warn or abort on failure.,install.sh,FALSE
O5,Operational,Low,No CHANGELOG.md,No record of what changed between versions making it hard for adopters to track upgrades and breaking changes.,Maintain a CHANGELOG.md following Keep a Changelog format (https://keepachangelog.com).,Repository root,FALSE
